case,sigma,n,N,h,dof,method,discretization,time_s_median,time_s_iqr,linf_error,l2_error,gmres_restart,gmres_tol_type,gmres_tol,gmres_iterations,gmres_converged,gmres_final_absres,gmres_final_relres,timing_scope,warmup,repeat
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FA,five_point_second_order,0.006598600011784583,0.0031527999963145703,1.3590703225963528e-05,6.806490095062268e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FA,five_point_second_order,0.011874099989654496,0.007971950006322004,3.397223575082528e-06,1.7278049737090557e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FA,five_point_second_order,0.013524599984521046,0.0060051499895052984,8.492778928266206e-07,4.353000319448534e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,FA,five_point_second_order,0.024150799989001825,0.01749345001007896,2.1231772562302353e-07,1.092484729913389e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,FA,five_point_second_order,0.0792074000055436,0.012859199996455573,5.307931695997664e-08,2.7365357097999156e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,CR,five_point_second_order,0.002286900009494275,0.00018489999638404697,1.359070322595312e-05,6.806490095057274e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,CR,five_point_second_order,0.007196500024292618,0.0006101499893702567,3.3972235750686502e-06,1.727804973700316e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,CR,five_point_second_order,0.03330840001581237,0.014349600009154528,8.492778921162514e-07,4.3530003160006656e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,CR,five_point_second_order,0.24824200000148267,0.07650460000149906,2.1231772870302507e-07,1.0924847453310203e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,CR,five_point_second_order,0.8534093000052962,0.11734765001165215,5.307931920904563e-08,2.736535832837773e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FACR,five_point_second_order,0.004425099992658943,0.0019314999954076484,1.3590703225952253e-05,6.8064900950564955e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FACR,five_point_second_order,0.010100899991812184,0.0010724500025389716,3.3972235750209454e-06,1.727804973677185e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FACR,five_point_second_order,0.02397969999583438,0.0024882000143406913,8.492778918664512e-07,4.353000314809361e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,FACR,five_point_second_order,0.06720230000792071,0.005632699991110712,2.123177297950335e-07,1.0924847507003993e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,FACR,five_point_second_order,0.24482439999701455,0.024050899999565445,5.307932347733274e-08,2.736536036150321e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,FFT9,fft9_compact_fourth_order_dirichlet,0.006443399994168431,0.0010507999977562577,1.2765648690470782e-08,5.532466440256432e-09,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,FFT9,fft9_compact_fourth_order_dirichlet,0.016157700010808185,0.0028918500029249117,7.978536581410012e-10,3.510995537790975e-10,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,FFT9,fft9_compact_fourth_order_dirichlet,0.04492550002760254,0.0037375499960035086,4.9866029708245385e-11,2.2113913841578743e-11,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,257,255,0.00390625,65025,FFT9,fft9_compact_fourth_order_dirichlet,0.19313279999187216,0.024504650005837902,3.116414678400181e-12,1.3873933241524142e-12,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,513,511,0.001953125,261121,FFT9,fft9_compact_fourth_order_dirichlet,0.8029434999916703,0.0898890500102425,2.008701364963894e-13,8.973104317247724e-14,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_0,0.0,33,31,0.03125,961,GMRES30,five_point_second_order,0.08417190000182018,0.016517349999048747,1.35907032013877e-05,6.8064900905291e-06,30.0,absolute_residual,1e-10,149.0,True,8.068282218365242e-11,4.687435787301602e-11,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
polynomial_dirichlet_sigma_0,0.0,65,63,0.015625,3969,GMRES30,five_point_second_order,0.5050158999802079,0.14284269999188837,3.3972234392137812e-06,1.7278049188448127e-06,30.0,absolute_residual,1e-10,784.0,True,9.797015319161973e-11,2.7613781370838827e-11,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
polynomial_dirichlet_sigma_0,0.0,129,127,0.0078125,16129,GMRES30,five_point_second_order,16.518582199991215,2.598759300002712,8.491439073849555e-07,4.3523159235536835e-07,30.0,absolute_residual,1e-10,2000.0,False,1.583452983443657e-07,2.1979945725255075e-08,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
polynomial_dirichlet_sigma_10,10.0,33,31,0.03125,961,FA,five_point_second_order,0.002722399978665635,0.002594549994682893,8.915099010832483e-06,4.518196739289249e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,65,63,0.015625,3969,FA,five_point_second_order,0.006172499997774139,0.0005636999994749203,2.2288027328462925e-06,1.1471657353643852e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,129,127,0.0078125,16129,FA,five_point_second_order,0.01668860000791028,0.004456450013094582,5.572025939433456e-07,2.890297260925358e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,257,255,0.00390625,65025,FA,five_point_second_order,0.042472200002521276,0.004760499999974854,1.393007693544293e-07,7.253953679494799e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,513,511,0.001953125,261121,FA,five_point_second_order,0.11151930000050925,0.01316850000876002,3.4825196364683675e-08,1.817029256237035e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,33,31,0.03125,961,CR,five_point_second_order,0.004573300015181303,0.00038050000148359686,8.91509901082034e-06,4.518196739283759e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,65,63,0.015625,3969,CR,five_point_second_order,0.010006600001361221,0.0027777999930549413,2.22880273284716e-06,1.1471657353618719e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,129,127,0.0078125,16129,CR,five_point_second_order,0.03765390001353808,0.009057650007889606,5.572025934524188e-07,2.890297258590868e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,257,255,0.00390625,65025,CR,five_point_second_order,0.14523319998988882,0.007491650001611561,1.393007714040051e-07,7.253953781955932e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,513,511,0.001953125,261121,CR,five_point_second_order,0.5042901000124402,0.04317840002477169,3.4825198121091194e-08,1.8170293548502148e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,33,31,0.03125,961,FACR,five_point_second_order,0.0035065000120084733,0.0005550000059884042,8.915099010822942e-06,4.5181967392848965e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,65,63,0.015625,3969,FACR,five_point_second_order,0.005702599999494851,0.0010047499963548034,2.2288027328298127e-06,1.1471657353540618e-06,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,129,127,0.0078125,16129,FACR,five_point_second_order,0.015405099984491244,0.002444649988319725,5.572025933006305e-07,2.8902972578676544e-07,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,257,255,0.00390625,65025,FACR,five_point_second_order,0.05327840000973083,0.005620050011202693,1.393007717006428e-07,7.253953798503264e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,513,511,0.001953125,261121,FACR,five_point_second_order,0.20370549999643117,0.015445099983480759,3.482519526833844e-08,1.8170292242687215e-08,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,33,31,0.03125,961,FFT9,fft9_compact_fourth_order_dirichlet,0.0058772000193130225,0.0022895499860169366,8.808439051072314e-09,3.7127077245443205e-09,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,65,63,0.015625,3969,FFT9,fft9_compact_fourth_order_dirichlet,0.012308500008657575,0.002223900009994395,5.505281408697826e-10,2.356153942315354e-10,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,129,127,0.0078125,16129,FFT9,fft9_compact_fourth_order_dirichlet,0.03761530001065694,0.009815950019401498,3.440812825633577e-11,1.484017602442359e-11,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,257,255,0.00390625,65025,FFT9,fft9_compact_fourth_order_dirichlet,0.14433589999680407,0.012725900000077672,2.15036755762954e-12,9.310519775040604e-13,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,513,511,0.001953125,261121,FFT9,fft9_compact_fourth_order_dirichlet,0.5142229999764822,0.05322785000316799,1.385280778976039e-13,6.018562497843134e-14,,,,,,,,solver_call_including_internal_rhs_and_transform_setup,2,7
polynomial_dirichlet_sigma_10,10.0,33,31,0.03125,961,GMRES30,five_point_second_order,0.040756700007477775,0.005120099987834692,8.915098877819091e-06,4.518196659668345e-06,30.0,absolute_residual,1e-10,130.0,True,9.387076834068204e-11,4.4453384657597576e-11,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
polynomial_dirichlet_sigma_10,10.0,65,63,0.015625,3969,GMRES30,five_point_second_order,0.2749206000007689,0.020557249983539805,2.2288026359906093e-06,1.1471656911742943e-06,30.0,absolute_residual,1e-10,613.0,True,9.738549999417396e-11,2.2597137745090646e-11,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
polynomial_dirichlet_sigma_10,10.0,129,127,0.0078125,16129,GMRES30,five_point_second_order,15.723647599981632,3.4093562999914866,5.572025442955597e-07,2.8902970114324636e-07,30.0,absolute_residual,1e-10,1992.0,True,9.968097020368094e-11,1.1446161215447645e-11,gmres_core_solve_only_matrix_and_rhs_setup_excluded,2,7
